ListTitle,FieldTitle,FieldInternalName
Artifact Type,Item Child Count,ItemChildCount
Artifact Type,Folder Child Count,FolderChildCount
Artifact Type,Restricted,Restricted
Artifact Type,Originator Id,OriginatorId
Artifact Type,NoExecute,NoExecute
Artifact Type,Content Version,ContentVersion
Artifact Type,Label setting,_ComplianceFlags
Artifact Type,Retention label,_ComplianceTag
Artifact Type,Retention label Applied,_ComplianceTagWrittenTime
Artifact Type,Label applied by,_ComplianceTagUserId
Artifact Type,Item is a Record,_IsRecord
Artifact Type,Access Policy,AccessPolicy
Artifact Type,VirusStatus,_VirusStatus
Artifact Type,VirusVendorID,_VirusVendorID
Artifact Type,VirusInfo,_VirusInfo
Artifact Type,App Created By,AppAuthor
Artifact Type,App Modified By,AppEditor
Artifact Type,Total Size,SMTotalSize
Artifact Type,Last Modified Date,SMLastModifiedDate
Artifact Type,Total File Stream Size,SMTotalFileStreamSize
Artifact Type,Total File Count,SMTotalFileCount
Artifact Type,Comment settings,_CommentFlags
Artifact Type,Comment count,_CommentCount
CascadeMasterList,Content Type ID,ContentTypeId
CascadeMasterList,Title,Title
CascadeMasterList,Approver Comments,_ModerationComments
CascadeMasterList,Title,LinkTitleNoMenu
CascadeMasterList,Title,LinkTitle
CascadeMasterList,Title,LinkTitle2
CascadeMasterList,File Type,File_x0020_Type
CascadeMasterList,Compliance Asset Id,ComplianceAssetId
CascadeMasterList,Task,Task
CascadeMasterList,SubTask,SubTask
CascadeMasterList,ID,ID
CascadeMasterList,Content Type,ContentType
CascadeMasterList,Modified,Modified
CascadeMasterList,Created,Created
CascadeMasterList,Created By,Author
CascadeMasterList,Modified By,Editor
CascadeMasterList,Has Copy Destinations,_HasCopyDestinations
CascadeMasterList,Copy Source,_CopySource
CascadeMasterList,owshiddenversion,owshiddenversion
CascadeMasterList,Workflow Version,WorkflowVersion
CascadeMasterList,UI Version,_UIVersion
CascadeMasterList,Version,_UIVersionString
CascadeMasterList,Attachments,Attachments
CascadeMasterList,Approval Status,_ModerationStatus
CascadeMasterList,Edit,Edit
CascadeMasterList,Select,SelectTitle
CascadeMasterList,Instance ID,InstanceID
CascadeMasterList,Order,Order
CascadeMasterList,GUID,GUID
CascadeMasterList,Workflow Instance ID,WorkflowInstanceID
CascadeMasterList,URL Path,FileRef
CascadeMasterList,Path,FileDirRef
CascadeMasterList,Modified,Last_x0020_Modified
CascadeMasterList,Created,Created_x0020_Date
CascadeMasterList,Item Type,FSObjType
CascadeMasterList,Sort Type,SortBehavior
CascadeMasterList,Effective Permissions Mask,PermMask
CascadeMasterList,Principal Count,PrincipalCount
CascadeMasterList,Name,FileLeafRef
CascadeMasterList,Unique Id,UniqueId
CascadeMasterList,Client Id,SyncClientId
CascadeMasterList,ProgId,ProgId
CascadeMasterList,ScopeId,ScopeId
CascadeMasterList,HTML File Type,HTML_x0020_File_x0020_Type
CascadeMasterList,Edit Menu Table Start,_EditMenuTableStart
CascadeMasterList,Edit Menu Table Start,_EditMenuTableStart2
CascadeMasterList,Edit Menu Table End,_EditMenuTableEnd
CascadeMasterList,Name,LinkFilenameNoMenu
CascadeMasterList,Name,LinkFilename
CascadeMasterList,Name,LinkFilename2
CascadeMasterList,Type,DocIcon
CascadeMasterList,Server Relative URL,ServerUrl
CascadeMasterList,Encoded Absolute URL,EncodedAbsUrl
CascadeMasterList,File Name,BaseName
